Naissance,AOD,ATP,DTP,AOD_Macron,Debut,Enfants,Sexe,AgeLiq,DC,DV,CL,Possible,Tauxplein,Decote,Surcote,Possible_Mac,Tauxplein_Mac,Decote_Mac,Surcote_Mac
1965,62,67,169,63.66666666666668,16,0,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,0,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,0,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,0,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,0,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,0,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,0,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,0,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,0,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,0,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,0,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,0,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,0,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,0,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,0,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,0,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,1,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,1,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,1,1,62,184,184,1,1,1,0,0,1,1,0,0
